57.0, 46.0
71.0, 44.0
114.0, 46.0
161.0, 50.0
176.0, 61.0
175.0, 78.0
172.0, 92.0
150.0, 106.0
106.0, 112.0
65.0, 93.0
94.0, 63.0
118.0, 74.0
124.0, 91.0
110.0, 88.0
169.0, 288.0
141.0, 293.0
132.0, 342.0
172.0, 401.0
215.0, 399.0
225.0, 339.0
179.0, 287.0
163.0, 345.0
206.0, 361.0
203.0, 320.0
180.0, 344.0
182.0, 365.0
117.0, 640.0
139.0, 646.0
171.0, 680.0
124.0, 708.0
91.0, 717.0
66.0, 658.0
129.0, 648.0
117.0, 712.0
82.0, 687.0
134.0, 712.0
93.0, 681.0
138.0, 681.0
129.0, 662.0
158.0, 692.0
156.0, 708.0
440.0, 78.0
440.0, 78.0
465.0, 116.0
446.0, 136.0
405.0, 119.0
406.0, 85.0
461.0, 108.0
446.0, 144.0
412.0, 113.0
422.0, 101.0
668.0, 270.0
695.0, 299.0
655.0, 319.0
599.0, 281.0
653.0, 255.0
668.0, 312.0
625.0, 320.0
624.0, 282.0
647.0, 274.0
430.0, 493.0
457.0, 474.0
478.0, 549.0
421.0, 544.0
423.0, 476.0
485.0, 501.0
468.0, 568.0
414.0, 537.0
429.0, 482.0
467.0, 520.0
451.0, 529.0
438.0, 508.0
452.0, 508.0
447.0, 534.0
445.0, 533.0
